,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,sector
2914,flat,Mittal Cosmos Executive Apartments3.8,0.75,6550.0,1145.0,Super Built up area 1145(106.37 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.),2.0,2.0,2,,15.0,,10+ Year Old,"['Global Foyer Mall', 'Dwarka Expressway', 'The Maurya School', 'Metro Hospital']","['2 Wardrobe', '1 Water Purifier', '3 Fan', '1 Exhaust Fan', '2 Geyser', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",sector 2
2916,flat,Ireo The Corridors,2.08,12044.0,1727.0,Super Built up area 1727(160.44 sq.m.),3.0,3.0,2,Others,6.0,,Under Construction,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering', 'Indira Gandhi International Airport', 'AIPL Business Centre', 'Lemon Tree Hotel, Sohna Road', 'Radisson Hotel', 'De Adventure Park', 'Teri Golf Course', 'PVR Drive in Theatre']",[],,sector 67a
2917,flat,Umang Monsoon Breeze,0.95,5491.0,1730.0,Built Up area: 1730 (160.72 sq.m.),3.0,3.0,2,,9.0,East,1 to 5 Year Old,"['Proposed Metro Station', 'Mahapal Shing', 'National Highway 8', 'IGD Primary Health Care', 'HDFC Bank', 'PCL Logistics', 'JW Mariott']","['3 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Chimney', '1 Modular Kitchen', '3 Wardrobe', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 78
2918,flat,ROF Ananda,0.26,6032.0,431.0,Super Built up area 431(40.04 sq.m.)Carpet area: 380.44 sq.ft. (35.34 sq.m.),1.0,1.0,1,,8.0,North,0 to 1 Year Old,"['Metro', 'Dwarka Expressway', 'Rajeev Chowk', 'NH8', 'KMP Expressway', 'IMT Manesar', 'ISBT', 'Hero Honda Chowk', 'IGI Airport', 'Railway Station', 'Proposed Diplomatic enclave', 'Flava', 'Spicy Salsa', ""Nihar's Cafe"", 'Cheeni singh restaurant']","['3 Fan', '1 Exhaust Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",sector 95
2920,flat,Unitech Sunbreeze,0.7353000000000001,5500.0,1337.0,Super Built up area 1337(124.21 sq.m.),3.0,3.0,1,Servant Room,10.0,,Under Construction,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sai Dharamraj Hospital', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Gobind Hospital', 'Kamal Hospital and Maternity Centre', 'Divine Look Clinic Centre', 'Skin Clinic', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Neelkanth Health Care', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Park Hospital Gurgaon', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Central bank of india', 'Union bank of india', 'Indusind bank', 'State bank of india', 'Hdfc bank', 'Icici bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Nook', 'Starbucks', ""Nirula's"", ""Domino's Pizza"", 'India', 'Haldiram']",[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Security Personnel', 'Maintenance Staff', 'Internet/wi-fi connectivity', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Rain Water Harvesting']",sector 69
2922,flat,Godrej Nature Plus,1.5,9677.0,1550.0,Super Built up area 1550(144 sq.m.),3.0,3.0,3,Study Room,6.0,East,Under Construction,"['Signature Global Infinity Mall Sohna', 'Badshahpur Sohna Rd Hwy', 'Gurjar Samrat Jaipal Khatana Marg', 'K. R. Mangalam University', 'Vidya Niketan Sr Sec School', 'Sanjivani Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['2 Wardrobe', '2 Fan', '3 Geyser', '5 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",sector-33
2923,flat,Sare Crescent Parc3.5,1.0,5128.0,1950.0,Carpet area: 1950 (181.16 sq.m.),4.0,3.0,2,,1.0,East,1 to 5 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",sector 92
2924,flat,Ireo The Corridors,2.0,11580.0,1727.0,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3.0,3.0,2,Others,6.0,,Under Construction,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering', 'Indira Gandhi International Airport', 'AIPL Business Centre', 'Lemon Tree Hotel, Sohna Road', 'Radisson Hotel', 'De Adventure Park', 'Teri Golf Course', 'PVR Drive in Theatre']","['1 Fan', '1 Geyser', '1 Light', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Park']",sector 67a
2926,flat,Godrej Frontier3.7,1.6,7000.0,2286.0,Super Built up area 2262(210.15 sq.m.),3.0,3.0,3,Servant Room,5.0,,5 to 10 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Petrol Pump', 'Petrol Pump Indian Oil', 'Petrol pump Maitri motors', 'Petrol Pump Indian Oil', 'Rao Dhaba', ""McDonald's"", ""McDonald's""]",[],"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",sector 80
2929,flat,Prime Habitat,0.32,4657.0,687.0,Super Built up area 687(63.82 sq.m.)Built Up area: 601 sq.ft. (55.83 sq.m.)Carpet area: 448 sq.ft. (41.62 sq.m.),2.0,2.0,1,,7.0,,1 to 5 Year Old,"['The Hive Mall', 'Omaxe Gurgaon Mall', 'Gurugram Road', 'Dwarka Expy', 'Euro International School', 'Shri Balajis Multispeciality Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['1 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre']",sector 99a
2930,flat,Sidhartha NCR Greens4.3,0.6,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2.0,2.0,2,Study Room,14.0,,1 to 5 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Vijay Petrol Pump']",,"['Lift(s)', 'Park', 'Piped-gas', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Club house / Community Center']",sector 95
2931,flat,Hero Homes,1.2,17548.0,684.0,Super Built up area 1099(102.1 sq.m.)Carpet area: 683.83 sq.ft. (63.53 sq.m.),2.0,2.0,2,,22.0,,Sep-23,"['Basai Metro Station', 'HUDA Market', 'Dwarka Expressway', 'Kings International School', 'Aryan Hospital', 'IGI Airport', 'Gurugram Railway Station']","['4 Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",sector 104
2932,flat,Jammu and Kashmir Bank Employees CGHS3.7,0.94,6064.0,1550.0,Carpet area: 1550 (144 sq.m.),3.0,3.0,2,,5.0,East,5 to 10 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Shri Multispeciality Hospital', 'Esic Hospital Gurugram', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Dr. Ashok Jain', 'Kamla Hospital Gurgaon', 'Pearl Dental Clinic', 'Taneja Hospital', 'Ankur Clinic and Maternity Home', 'Dr. Madan Clinic', 'Dr. Hitesh Dawar', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Dev Man Kathuria Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Satyam Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Geeta Nursing Home Gurgaon', 'Chiranjiv Hospital', 'Sarvodya Hospital', 'Swastik Maternity and Medical Centre', 'Gurgaon Eye Centre', 'Aryan Hospital', 'Yadav Hospital Gurgoan', 'Sneh Hospital Gurgaon', 'Bhanu Dental Care', 'D.R. Rajnis Gupta Clinic', 'Ravi Clinic and Health Care Centre', 'Boxer Fuel Point', 'Kotak bank', 'Hdfc bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","['3 Wardrobe', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Club house / Community Center']",sector 9a
2933,flat,Ramprasta AWHO,0.92,5257.0,1750.0,Built Up area: 1750 (162.58 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,3+,,13.0,North-East,undefined,,,,sector 95
2934,flat,Ambience Creacions,1.75,12700.0,1378.0,Super Built up area 1380(128.21 sq.m.),2.0,2.0,2,,11.0,,Nov-23,"['Moulsari Avenue', 'Ambience Mall', 'Old Delhi Gurgaon Road', 'Gurgaon - Delhi Expy', 'Rotary Public School', 'The NorthCap University', 'Manipal Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Candor Techspace', 'Hyatt Place Gurgaon Udyog Vihar', 'Fun N Food WaterPark', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","['5 Fan', '6 Light', '4 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",sector 22
2935,flat,Greenopolis,0.8976999999999999,4700.0,1910.0,Built Up area: 1910 (177.44 sq.m.),3.0,3.0,0,,14.0,,Under Construction,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'Vijay Petrol Pump', 'Pizza Hut', 'KFC', 'Garhi harsaru junction railway station']",[],"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Security Personnel', 'Maintenance Staff', 'Park', 'Water Storage', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']",sector 89
2936,flat,Pareena Coban Residences,1.35,6761.0,1997.0,Super Built up area 1997(185.53 sq.m.),3.0,5.0,3,"Servant Room,Others",6.0,,0 to 1 Year Old,"['Gopal Super Market', 'Little Need Super Market', 'JMS Marine Square Mall', 'Adarsh Public School', 'Basant Lal Memorial College', 'Govt School', 'Rishikul College', 'HDFC Bank ATM', 'Shri Balaji Hospital', 'Shree Krishna Hospital', 'IGI Airport', 'YES Bank', 'Bank of Baroda', 'Garhi Harsaru Junction', 'Park INN']",[],"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Maintenance Staff', 'Club house / Community Center', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Shopping Centre']",sector 99a
2937,flat,DLF Express Greens3.9,1.2,6505.0,1845.0,Super Built up area 1845(171.41 sq.m.),3.0,4.0,2,"Servant Room,Others",5.0,East,1 to 5 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",,"['Lift(s)', 'Feng Shui / Vaastu Compliant', 'Piped-gas', 'Park', 'Swimming Pool', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']",sector 1a
2938,flat,Imperia The Esfera,0.7,4879.0,1435.0,Super Built up area 1435(133.32 sq.m.),2.0,3.0,3+,"Study Room,Others",12.0,North,Under Construction,"['Approved Sector 37 Mero Station', 'Esplanade Mall', 'Sector 10 Market', 'Dwarka Expressway', 'Suncity School', 'Xaviers International', 'Alpine School', 'Signature Hospital']",[],"['Intercom Facility', 'Lift(s)', 'Feng Shui / Vaastu Compliant', 'Swimming Pool', 'Park', 'Security Personnel', 'Maintenance Staff', 'Club house / Community Center', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Water softening plant']",sector 37c
2940,flat,Paras Dews,1.4,6000.0,2333.0,Super Built up area 1760(163.51 sq.m.),3.0,4.0,3+,"Servant Room,Study Room,Others",12.0,,Under Construction,"['Chintapurni Mandir', 'State bank ATM', 'R K Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Kalyan Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Prateek Nursing Home And Polyclinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Kr Dental Hub', 'Dr. Sindhu Clinic', 'Shree Krishna Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",[],,sector 106
2941,flat,Sare Crescent Parc3.5,0.65,4596.0,1414.0,Carpet area: 1414 (131.36 sq.m.),3.0,3.0,3,,3.0,,5 to 10 Year Old,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil']",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",sector 92
2942,flat,Ansal Heights 86,0.87,5367.0,1621.0,Super Built up area 1360(126.35 sq.m.),2.0,2.0,1,Others,12.0,North-East,0 to 1 Year Old,"['IRIS Broadway Mall', 'Delhi Jaipur Expressway', 'Shishu Kalyan Senior Secondary School', 'Aarvy Healthcare Hospital']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 86
2943,flat,LIG Flat,1.5,50000.0,300.0,Built Up area: 300 (27.87 sq.m.),1.0,1.0,0,,,,undefined,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Centre For Sight Gurgaon Sector 29', 'Sukhmani Hospital Pvt. Ltd', 'Ahmed Hospital Multi Speciality', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'Pernod Ricard Charitable Dispensary', 'IBP Petrol Pump', 'Bharat petroleum', 'Hdfc bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', '32nd Milestone', 'Darbar', 'PWO house', 'Dhabba', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'CR Model Public School', 'Manav Rachna School', 'St. Angels Sr', 'Amity Global School', 'Salvan Public School', 'Stones2milestones', 'Manav Rachna Swimming Pool']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,sector 40
2944,flat,Apna Enclave,0.55,5789.0,950.0,Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.),2.0,2.0,2,,2.0,North-East,10+ Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Chirag Hospital Pvt. Ltd', ""Dr. Anurag's Child Care Clinic"", 'R K Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Yashroop Medical Centre', 'Bhardwaj Hospital', 'Dr. Sindhu Clinic', 'Dr. Hitesh Dawar', 'Sarvodya Hospital', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Kalyan Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Gurgaon Eye Centre', 'Kr Dental Hub', 'GH Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Ashok Jain', 'Shree Krishna Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Children Hospital', 'Dr. Tomar Clinic', 'Bhatnagar Maternity and Nursing Home', 'Nidhi Clinic', 'Dr. Babita Sharma', 'Pearl Dental Clinic', 'Sheetla Clinic', 'Dr. Sarvejeet Singh', 'Geeta Nursing Home Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', ""McDonald's"", 'Lieutenant Atul Kataria School', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal']",sector 3
2945,flat,Raheja Vedaanta3.6,1.25,5681.0,2200.0,Super Built up area 2200(204.39 sq.m.),3.0,2.0,0,,,,1 to 5 Year Old,,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 108
2947,flat,Krrish Florence Estate,1.3,5600.0,2321.0,Built Up area: 1865 (173.26 sq.m.),3.0,3.0,3,,17.0,,Under Construction,"['Omaxe Gurgaon Mall', 'NH248A', 'The Vivekananda School', 'Suraj PG Degree College, Sec -75', 'Dr Naveen Chawla General Physician', 'Park Hospital', 'Indira Gandhi Intl Airport']","['4 Wardrobe', '1 Exhaust Fan', '3 Geyser', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,sector 70
2948,flat,Ansal Housing Highland Park,2.0,7490.0,2670.0,Super Built up area 2670(248.05 sq.m.),4.0,5.0,3+,Servant Room,14.0,,0 to 1 Year Old,"['State bank ATM', 'Dr. Hitesh Dawar', 'Bhardwaj Hospital', 'R K Hospital Gurgaon', 'Shree Krishna Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Kr Dental Hub', 'Sneh Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Basai dhankot railway station']",,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 103
2949,flat,DLF Express Greens3.9,1.5,6358.0,2359.0,Super Built up area 2359(219.16 sq.m.),4.0,5.0,3+,Servant Room,10.0,East,0 to 1 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",,"['Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 1a
2950,flat,Godrej Summit3.7,,,,Super Built up area 1647(153.01 sq.m.)Carpet area: 884 sq.ft. (82.13 sq.m.),3.0,3.0,3,,14.0,,1 to 5 Year Old,"['MG Road Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expy', 'Blue Bells Model School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Oswal buildings, Udyog Vihar', 'Altrade Business Centre', 'Country Inn & Suites by Radisson', 'Appu Ghar', 'Hamoni Golf Camp', 'Nehru Stadium']",[],"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park']",sector 104
2951,flat,Pareena Mi Casa,1.9,9227.0,2059.0,Carpet area: 2059 (191.29 sq.m.),3.0,3.0,3+,Servant Room,1.0,,Under Construction,"['Sector 55-56 Metro Station', 'Airia Mall', 'Hong Kong Bazaar', 'Sohna Road', 'Delhi Jaipur Expressway', 'The Vivekananda School', 'Gurugram University', 'W Pratiksha Hospital', 'Indira Gandhi International Airport', 'V Club', 'Radisson Hotel Gurugram Sohna Road', 'Golden Greens Golf & Resorts', 'Fitso Sector 48 Spuddy, Badminton', 'SCC Drive-In Cinema', 'SkyJumper Trampoline Park']",[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",sector 68
2952,flat,Ramsons Kshitij3.7,0.22,6470.0,340.0,Super Built up area 340(31.59 sq.m.),1.0,1.0,1,,2.0,,0 to 1 Year Old,"['Bangali Clinic', 'Yadav Clinic', 'Dr. J. S. Sarkar Clinic']",[],,sector 95
2954,flat,Green Court3.7,0.4,6389.0,626.0,Super Built up area 626(58.16 sq.m.)Carpet area: 526 sq.ft. (48.87 sq.m.),2.0,2.0,1,,8.0,South,0 to 1 Year Old,"['Baba Kanala Chowk', 'Pataudi Rd', 'Gurukul Preschool', 'Yaduvanshi Shiksha Niketan', 'Bharat Ram Global School', 'RPS International School', 'ICICI ATM', 'Silver Streak Hospital', 'Arc Multi Speciality', 'Sanjeevani Hospital', 'HDFC Bank', 'Sai Sports Club cricket ground', 'Nawada Cricket Accadmy', 'HP PETROL PUMP Unnamed Rd', 'INOX Cinema']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Shopping Centre']",sector 90
